1788202800,92.0690,18.1987,0.3847
1788202810,92.0839,18.2110,0.3746
1788202820,92.1172,18.2078,0.3563
1788202830,92.1337,18.2045,0.3432
1788202840,92.1511,18.2051,0.3304
1788202850,92.1944,18.2115,0.3129
1788202860,92.2246,18.2019,0.2901
1788202870,92.2515,18.1987,0.2770
1788202880,92.2820,18.2083,0.2544
1788202890,92.3210,18.2163,0.2307
1788202900,92.3302,18.2174,0.2208
1788202910,92.3278,18.2110,0.2112
1788202920,92.3580,18.2136,0.1964
1788202930,92.3677,18.2078,0.1789
1788202940,92.3677,18.2136,0.1714
1788202950,92.3677,18.2142,0.1617
1788202960,92.3946,18.2142,0.1478
1788202970,92.3848,18.2163,0.1398
1788202980,92.3958,18.2051,0.1321
1788202990,92.3848,18.2195,0.1222
1788203000,92.4062,18.2142,0.1109
1788203010,92.4324,18.2110,0.0950
1788203020,92.4382,18.2142,0.0768
1788203030,92.4489,18.2115,0.0669
1788203040,92.4520,18.2083,0.0539
1788203050,92.4587,18.2078,0.0476
1788203060,92.4602,18.2051,0.0314
1788203070,92.4767,18.2019,0.0199
1788203080,92.4651,18.1901,0.0102
1788203090,92.4730,18.1955,0.0021
1788203100,92.4920,18.1987,0.0000
1788203110,92.4889,18.1987,0.0000
1788203120,92.4874,18.1987,0.0000
1788203130,92.5057,18.1923,0.0000
1788203140,92.5042,18.1987,0.0000
1788203150,92.5084,18.1827,0.0000
1788203160,92.5203,18.1805,0.0000
1788203170,92.5447,18.1955,0.0000
1788203180,92.5509,18.1859,0.0000
1788203190,92.5649,18.1896,0.0000
1788203200,92.5762,18.1987,0.0000
1788203210,92.6061,18.1832,0.0000
1788203220,92.6149,18.1923,0.0000
1788203230,92.6351,18.1864,0.0000
1788203240,92.6455,18.1864,0.0000
1788203250,92.6558,18.1987,0.0000
1788203260,92.6857,18.1987,0.0000
1788203270,92.7086,18.2051,0.0000
1788203280,92.7288,18.1987,0.0000
1788203290,92.7608,18.2019,0.0000
1788203300,92.7672,18.1891,0.0000
1788203310,92.7816,18.1987,0.0000
1788203320,92.7974,18.2019,0.0000
1788203330,92.8212,18.1955,0.0000
1788203340,92.8295,18.1960,0.0000
1788203350,92.8469,18.1923,0.0000
1788203360,92.8682,18.2019,0.0000
1788203370,92.8966,18.2078,0.0000
1788203380,92.9281,18.2078,0.0000
1788203390,92.9433,18.2110,0.0000
1788203400,92.9848,18.2168,0.0000
1788203410,93.0095,18.2200,0.0000
1788203420,93.0452,18.2142,0.0000
1788203430,93.0809,18.2045,0.0000
1788203440,93.1081,18.2227,0.0000
1788203450,93.1460,18.2222,0.0000
1788203460,93.1786,18.2222,0.0000
1788203470,93.1856,18.2248,0.0000
1788203480,93.1978,18.2307,0.0000
1788203490,93.2299,18.2200,0.0000
1788203500,93.2467,18.2195,0.0000
1788203510,93.2665,18.2254,0.0000
1788203520,93.2848,18.2254,0.0000
1788203530,93.3086,18.2280,0.0000
1788203540,93.3376,18.2280,0.0000
1788203550,93.3306,18.2254,0.0000
1788203560,93.3550,18.2307,0.0000
1788203570,93.3867,18.2227,0.0000
1788203580,93.3938,18.2393,0.0000
1788203590,93.4127,18.2280,0.0000
1788203600,93.4099,18.2393,0.0000
1788203610,93.4279,18.2280,0.0000
1788203620,93.4356,18.2254,0.0000
1788203630,93.4307,18.2387,0.0000
1788203640,93.4441,18.2366,0.0000
1788203650,93.4463,18.2286,0.0000
1788203660,93.4594,18.2387,0.0000
1788203670,93.4630,18.2307,0.0000
1788203680,93.4499,18.2393,0.0000
1788203690,93.4496,18.2313,0.0000
1788203700,93.4624,18.2254,0.0000
1788203710,93.4716,18.2334,0.0000
1788203720,93.4514,18.2307,0.0000
1788203730,93.4545,18.2339,0.0000
1788203740,93.4578,18.2361,0.0000
1788203750,93.4520,18.2280,0.0000
1788203760,93.4572,18.2190,0.0000
1788203770,93.4466,18.2254,0.0000
1788203780,93.4469,18.2142,0.0000
1788203790,93.4334,18.2227,0.0000
1788203800,93.4340,18.2200,0.0000
1788203810,93.4206,18.2227,0.0000
1788203820,93.4176,18.2168,0.0000
1788203830,93.4090,18.2307,0.0000
1788203840,93.3993,18.2200,0.0000
1788203850,93.3938,18.2147,0.0000
1788203860,93.3968,18.2142,0.0000
1788203870,93.3858,18.2163,0.0000
1788203880,93.3834,18.2227,0.0000
1788203890,93.3687,18.2168,0.0000
1788203900,93.3690,18.2168,0.0000
1788203910,93.3370,18.2200,0.0000
1788203920,93.3352,18.2248,0.0000
1788203930,93.3037,18.2222,0.0000
1788203940,93.3050,18.2168,0.0000
1788203950,93.2708,18.2136,0.0000
1788203960,93.2586,18.2259,0.0000
1788203970,93.2348,18.2222,0.0000
1788203980,93.2012,18.2254,0.0000
1788203990,93.2021,18.2200,0.0000
1788204000,93.1881,18.2195,0.0000
1788204010,93.1585,18.2227,0.0000
1788204020,93.1508,18.2307,0.0000
1788204030,93.1243,18.2195,0.0000
1788204040,93.1048,18.2222,0.0000
1788204050,93.0889,18.2280,0.0000
1788204060,93.0559,18.2227,0.0000
1788204070,93.0278,18.2280,0.0000
1788204080,93.0089,18.2227,0.0000
1788204090,92.9638,18.2227,0.0000
1788204100,92.9439,18.2254,0.0000
1788204110,92.9152,18.2227,0.0000
1788204120,92.8896,18.2227,0.0000
1788204130,92.8844,18.2248,0.0000
1788204140,92.8508,18.2227,0.0000
1788204150,92.8243,18.2142,0.0000
1788204160,92.7904,18.2227,0.0000
1788204170,92.7648,18.2083,0.0000
1788204180,92.7553,18.2307,0.0000
1788204190,92.7401,18.2200,0.0000
1788204200,92.7205,18.2254,0.0000
1788204210,92.6931,18.2195,0.0000
1788204220,92.6891,18.2254,0.0000
1788204230,92.6720,18.2248,0.0000
1788204240,92.6613,18.2280,0.0000
1788204250,92.6644,18.2227,0.0000
1788204260,92.6351,18.2307,0.0000
1788204270,92.6107,18.2227,0.0000
1788204280,92.5982,18.2307,0.0000
1788204290,92.5914,18.2280,0.0000
1788204300,92.5643,18.2366,0.0000
1788204310,92.5460,18.2334,0.0000
1788204320,92.5521,18.2339,0.0000
1788204330,92.5188,18.2307,0.0000
1788204340,92.4834,18.2419,0.0000
1788204350,92.4862,18.2425,0.0000
1788204360,92.4642,18.2419,0.0000
1788204370,92.4538,18.2393,0.0000
1788204380,92.4462,18.2446,0.0000
1788204390,92.4135,18.2254,0.0000
1788204400,92.4150,18.2451,0.0000
1788204410,92.3949,18.2334,0.0000
1788204420,92.3922,18.2537,0.0000
1788204430,92.3616,18.2483,0.0000
1788204440,92.3534,18.2478,0.0000
1788204450,92.3336,18.2542,0.0000
1788204460,92.3305,18.2483,0.0000
1788204470,92.3229,18.2564,0.0000
1788204480,92.3082,18.2446,0.0000
1788204490,92.2823,18.2681,0.0000
1788204500,92.2542,18.2622,0.0000
1788204510,92.2448,18.2537,0.0000
1788204520,92.2316,18.2569,0.0000
1788204530,92.2090,18.2681,0.0000
1788204540,92.1611,18.2596,0.0000
1788204550,92.1544,18.2596,0.0000
1788204560,92.1309,18.2681,0.0000
1788204570,92.1196,18.2708,0.0000
1788204580,92.0821,18.2761,0.0000
1788204590,92.0629,18.2708,0.0000
1788204600,92.0397,18.2708,0.0000
1788204610,92.0092,18.2681,0.0000
1788204620,91.9817,18.2708,0.0000
1788204630,91.9448,18.2761,0.0000
1788204640,91.9280,18.2815,0.0000
1788204650,91.9100,18.2734,0.0000
1788204660,91.8770,18.2761,0.0000
1788204670,91.8486,18.2788,0.0000
1788204680,91.7958,18.2622,0.0000
1788204690,91.7839,18.2681,0.0000
1788204700,91.7308,18.2761,0.0000
1788204710,91.7076,18.2708,0.0000
1788204720,91.6735,18.2734,0.0000
1788204730,91.6530,18.2761,0.0000
1788204740,91.6234,18.2681,0.0000
1788204750,91.5923,18.2734,0.0000
1788204760,91.5746,18.2734,0.0000
1788204770,91.5654,18.2815,0.0000
1788204780,91.5114,18.2734,0.0000
1788204790,91.5023,18.2788,0.0000
1788204800,91.4839,18.2761,0.0000
1788204810,91.4510,18.2734,0.0000
1788204820,91.4086,18.2815,0.0000
1788204830,91.3884,18.2681,0.0000
1788204840,91.3420,18.2761,0.0000
1788204850,91.3042,18.2708,0.0000
