q,r2,n,hours,grad0,grad1,dahi,daho,temp0,dT,dTdt,tmean,start
3.3167962051596316,0.5170643452287256,122,2.359166666666667,7.96082114657786,1.7602386167324742,-5.896253975515213,0.3043285543301728,23.68998118053966,-4.6354683248137185,-1.9586485879494584,19.44835428753212,2026-04-11T17:28:32+00:00
0.6725151039808299,0.022784021874372895,754,39.908611111111114,2.2750323913320774,1.4083724122186059,0.00857836290888514,0.8752383420223566,17.961218608964085,1.1306788504087635,0.028337815799718384,18.36605345247285,2026-04-11T20:58:16+00:00
-0.04875366084801907,5.9068738116119235e-05,450,16.2775,0.4593714880590003,1.0940681825860246,1.0484608573890775,0.4137641628620532,17.518149432775207,2.083061898809209,0.127926012209368,16.156527818866557,2026-04-13T21:04:55+00:00
0.16566295088935132,0.0008172024646738718,114,2.0436111111111113,1.3178844245311954,1.5427451823523732,0.13772268942481425,-0.08713806839636362,19.33212434929075,0.7177022260565415,0.35009864685684955,18.88493537917817,2026-04-14T13:24:35+00:00
0.8504311196089797,0.0480846323480979,1293,76.32416666666667,2.947440658988011,0.5219174564130604,-3.817831049844628,-1.3923078472696773,21.45914396887159,-4.909208819714653,-0.06432682445574998,19.771444544457278,2026-04-14T17:59:29+00:00
-1.1761403122964282,0.518021481584074,112,15.005833333333333,1.6995269942149047,4.188664548027578,1.1879954465841696,-1.3011421072285039,18.30837847460644,3.3380993323199775,1.0710479141133618,19.348301960298517,2026-04-18T01:30:05+00:00
3.6216712376097044,0.8795465559949304,132,3.8377777777777777,3.9017674849027486,0.6917960225663968,-3.329981346363743,-0.12000988402739132,20.317800920627658,-3.535840605822294,-0.9223932015188593,17.50431431730697,2026-04-18T19:50:00+00:00
-0.22777276551646675,0.008405906434630683,680,11.938333333333333,1.0914258174050815,1.0104896628947877,2.0235874479168725,2.1045236024271663,16.41066478472063,2.865793478920054,0.23981535388452335,15.373982062900458,2026-04-19T00:34:48+00:00
-1.2397298255996616,0.20701205341113682,217,13.089444444444444,1.2930470221799446,1.6434448837218536,2.505286237213637,2.154888375671728,16.053987593241427,3.502444377930761,0.26770275500107726,17.709709091879503,2026-04-20T02:15:08+00:00
0.03367092014098056,7.512803603682006e-05,60,1.336111111111111,2.03238480568727,2.5682345050403654,0.06677486147955491,-0.4690748378735403,19.53424770087622,0.48730566755286375,0.3654792506646478,19.2579279827742,2026-04-20T15:27:22+00:00
0.7344184140897637,0.08675355897718029,631,35.51222222222222,2.60529973566382,1.2991163661152676,-0.19432949621032236,1.1118538733382302,19.679677917260896,-0.5036650996825038,-0.014181091497395697,18.310814094158523,2026-04-20T18:36:22+00:00
0.7975588114623494,0.19812596876857946,239,11.195833333333333,2.0438737936777898,1.5979111262379995,-0.8989868371798693,-0.453024169740079,14.594618651611105,0.6668975082799662,0.16134617135805632,14.69416120150208,2026-04-22T06:12:02+00:00
0.49594282029719183,0.08022102243401108,331,18.782777777777778,1.8414366813910625,1.0605766565637378,-0.15213555024463332,0.6287244745826914,15.265213538273734,0.43436493124636755,0.023125018522433052,14.39438469170541,2026-04-22T17:28:33+00:00
-1.5703742660475426,0.39756987860033455,149,14.800277777777778,1.776222074232626,1.9607075900951365,3.201051867971005,3.0165663521084944,15.49748650000424,4.4562082373938665,0.30109515117526126,16.346262978885132,2026-04-24T23:08:03+00:00
1.6806634320680798,0.7049622507016815,182,4.110555555555556,3.4273614082323363,1.13464077450063,-2.192337888762614,0.10038274496909239,19.368071083566623,-1.5185441132454187,-0.36887711252925154,17.466284722379402,2026-04-25T18:32:34+00:00
1.6842134402965967,0.4775597735129097,70,15.360277777777778,1.384551384356989,1.5125033929538034,-0.6300000674865718,-0.7579520760833862,15.5673715161012,1.0377308660668731,0.06760461668188099,15.572460843786653,2026-04-25T22:42:13+00:00
4.673828963148335,0.6327227855117138,153,2.6972222222222224,4.1798352137182295,2.437933762993631,-3.1505580784135763,-1.4086566276889778,16.10847257190814,-4.358644235904476,-1.6143126799646208,12.627408437197358,2026-04-26T17:08:42+00:00
1.551550269606263,0.815085455549218,139,2.4627777777777777,2.5896963829908337,1.6899884966857037,-1.2178839862043214,-0.3181760998991914,9.344084585844714,-2.1562905317769134,-0.8741718372068568,8.026240791068027,2026-04-26T21:41:40+00:00
0.9395672572311552,0.8533839639954427,52,1.0255555555555556,1.4843595348608716,1.283935187664409,-0.15818931869174513,0.0422350285047175,6.513724316425164,0.07814135331873917,0.0768603475266287,6.608147027964714,2026-04-27T01:48:00+00:00
-0.045094983990999614,0.000585351421515723,278,16.53361111111111,1.391874430181506,0.42675826252446925,2.1747637560030517,3.1398799236600885,6.432792811826916,6.197887994866708,0.3748722577540347,6.596456134822372,2026-04-27T02:53:12+00:00
3.604691505403182,0.6347346448599052,251,4.330555555555556,1.163330734820482,0.6010577584613621,-1.418888919627829,-0.856615943268709,11.932745860990313,-2.1821037104854977,-0.5035623947274226,10.429709627851059,2026-04-27T20:22:50+00:00
3.414586264585672,0.9241545882996225,85,1.566111111111111,0.7460165079567691,0.35260976665408617,-0.4791134338231062,-0.08570669252042329,9.687889422954656,-0.5629943287301948,-0.35935808216820947,9.426825732269833,2026-04-28T00:49:14+00:00
