uyt_bucket,temp_c
23:17:30,4.815
23:17:40,4.799
23:17:50,4.828
23:18:00,4.799
23:18:10,4.786
23:18:20,4.815
23:18:30,4.799
23:18:40,4.786
23:18:50,4.799
23:19:00,4.815
23:19:10,4.799
23:19:20,4.786
23:19:30,4.799
23:19:40,4.799
23:19:50,4.772
23:20:00,4.799
23:20:10,4.786
23:20:20,4.786
23:20:30,4.786
23:20:40,4.799
23:20:50,4.772
23:21:00,4.772
23:21:10,4.786
23:21:20,4.772
23:21:30,4.786
23:21:40,4.786
23:21:50,4.772
23:22:00,4.786
23:22:10,4.786
23:22:20,4.786
23:22:30,4.786
23:22:40,4.786
23:22:50,4.772
23:23:00,4.786
23:23:10,4.772
23:23:20,4.786
23:23:30,4.772
23:23:40,4.772
23:23:50,4.786
23:24:00,4.786
23:24:10,4.772
23:24:20,4.772
23:24:30,4.772
23:24:40,4.786
23:24:50,4.786
23:25:00,4.759
23:25:10,4.772
23:25:20,4.772
23:25:30,4.786
23:25:40,4.772
23:25:50,4.786
23:26:00,4.772
23:26:10,4.772
23:26:20,4.772
23:26:30,4.772
23:26:40,4.786
23:26:50,4.772
23:27:00,4.772
23:27:10,4.786
23:27:20,4.759
23:27:30,4.759
23:27:40,4.759
23:27:50,4.772
23:28:00,4.759
23:28:10,4.759
23:28:20,4.772
23:28:30,4.772
23:28:40,4.772
23:28:50,4.759
23:29:00,4.772
23:29:10,4.759
23:29:20,4.759
23:29:30,4.759
23:29:40,4.759
23:29:50,4.759
23:30:00,4.772
23:30:10,4.759
23:30:20,4.772
23:30:30,4.759
23:30:40,4.759
23:30:50,4.743
23:31:00,4.772
23:31:10,4.759
23:31:20,4.743
23:31:30,4.759
23:31:40,4.730
23:31:50,4.743
23:32:00,4.743
23:32:10,4.743
23:32:20,4.743
23:32:30,4.743
23:32:40,4.759
23:32:50,4.743
23:33:00,4.743
23:33:10,4.786
23:33:20,4.772
23:33:30,4.743
23:33:40,4.759
23:33:50,4.743
23:34:00,4.743
23:34:10,4.730
23:34:20,4.759
23:34:30,4.759
23:34:40,4.743
23:34:50,4.743
23:35:00,4.743
23:35:10,4.743
23:35:20,4.743
23:35:30,4.759
23:35:40,4.759
23:35:50,4.743
23:36:00,4.759
23:36:10,4.759
23:36:20,4.772
23:36:30,4.759
23:36:40,4.743
23:36:50,4.759
23:37:00,4.743
23:37:10,4.759
23:37:20,4.759
23:37:30,4.759
23:37:40,4.759
23:37:50,4.759
23:38:00,4.759
23:38:10,4.940
23:38:20,4.799
23:38:30,4.815
23:38:40,4.772
23:38:50,4.786
23:39:00,4.759
23:39:10,4.772
23:39:20,4.799
23:39:30,4.772
23:39:40,4.759
23:39:50,4.772
23:40:00,4.772
23:40:10,4.772
23:40:20,4.759
23:40:30,4.786
23:40:40,4.759
23:40:50,4.772
23:41:00,4.786
23:41:10,4.786
23:41:20,5.856
23:41:30,5.995
23:41:40,5.125
23:41:50,4.967
23:42:00,5.629
23:42:10,6.094
23:42:20,5.418
23:42:30,5.055
23:42:40,4.954
23:42:50,4.898
23:43:00,4.855
23:43:10,4.842
23:43:20,4.828
23:43:30,4.828
23:43:40,4.828
23:43:50,4.815
23:44:00,4.815
23:44:10,4.815
23:44:20,4.799
23:44:30,4.815
23:44:40,4.799
23:44:50,4.799
23:45:00,4.815
23:45:10,4.786
23:45:20,4.799
23:45:30,4.799
23:45:40,4.799
23:45:50,4.799
23:46:00,4.786
23:46:10,4.786
23:46:20,4.786
23:46:30,4.786
23:46:40,4.772
23:46:50,4.772
23:47:00,4.786
23:47:10,4.786
23:47:20,4.786
23:47:30,4.786
23:47:40,4.786
23:47:50,4.772
23:48:00,4.772
23:48:10,4.786
23:48:20,4.759
23:48:30,4.772
23:48:40,4.772
23:48:50,4.786
23:49:00,4.759
23:49:10,4.786
23:49:20,4.772
23:49:30,4.772
23:49:40,4.786
23:49:50,4.772
23:50:00,4.772
23:50:10,4.772
23:50:20,4.759
23:50:30,4.759
23:50:40,4.743
23:50:50,4.759
23:51:00,4.743
23:51:10,4.743
23:51:20,4.772
23:51:30,4.759
23:51:40,4.743
23:51:50,4.759
23:52:00,4.759
23:52:10,4.759
23:52:20,4.743
23:52:30,4.759
